Id,Supermercado,Marca,Producto,Precio,Categoria,Enlace,Fecha,porMayor
75,Unimarc,Costa,Galletas Frac Clásica 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-clasica,2024-10-01,
76,Unimarc,Costa,Galletas Frac Clásica 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-clasica,2024-10-06,
77,Unimarc,Costa,Galletas Frac Chocolate 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-chocolate,2024-10-06,
78,Unimarc,Costa,Galletas Frac Bi Frutilla 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-bi-frutilla,2024-10-06,
79,Unimarc,Costa,Galletas Frac Naranja 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-naranja,2024-10-06,
80,Unimarc,Costa,Galletas Frac Bi Cappuccino 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-bi-capuccino,2024-10-06,
81,Unimarc,Costa,Galletas Frac Vainilla 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-vainilla,2024-10-06,
82,Unimarc,Costa,Galletas Frac Bi Cappuccino 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-bi-capuccino,2024-10-01,
83,Unimarc,Costa,Galletas Frac Naranja 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-naranja,2024-10-01,
84,Lider,Lucchetti,"Fideos Espirales 56 Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/296751/lucchetti-fideos-espirales-56-bolsa-400-g,2024-10-06,4 x $2.990
85,Lider,Lucchetti,"Fideos Corbatas Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/296803/lucchetti-fideos-corbatas-bolsa-400-g,2024-10-06,4 x $2.990
86,Lider,Lucchetti,"Fideos Tallarines 77 Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/296907/lucchetti-fideos-tallarines-77-bolsa-400-g,2024-10-06,4 x $2.990
87,Lider,Lucchetti,"Fideos Canutos Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/296847/lucchetti-fideos-canutos-bolsa-400-g,2024-10-06,4 x $2.990
88,Lider,Lucchetti,"Fideos Spaghetti 5 Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/10703/lucchetti-fideos-spaghetti-5-bolsa-400-g,2024-10-06,4 x $2.990
89,Lider,Lucchetti,"Fideos Spaghetti 5 Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/10703/lucchetti-fideos-spaghetti-5-bolsa-400-g,2024-10-01,4 x $2.990
90,Lider,Lucchetti,"Fideos Tallarines 77 Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/296907/lucchetti-fideos-tallarines-77-bolsa-400-g,2024-10-01,4 x $2.990
91,Lider,Lucchetti,"Fideos Espirales 56 Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/296751/lucchetti-fideos-espirales-56-bolsa-400-g,2024-10-01,4 x $2.990
92,Lider,Lucchetti,"Fideos Canutos Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/296847/lucchetti-fideos-canutos-bolsa-400-g,2024-10-01,4 x $2.990
93,Lider,Lucchetti,"Fideos Corbatas Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/296803/lucchetti-fideos-corbatas-bolsa-400-g,2024-10-01,4 x $2.990
94,Jumbo,Costa,Galleta Frac Naranja 110 G,749,Frac,https://www.jumbo.cl/galleta-frac-naranja-110-gr-2004372/p,2024-10-06,
95,Jumbo,Costa,Galleta Frac Clásica 110 G,749,Frac,https://www.jumbo.cl/galleta-frac-clasica-110-gr-2004368/p,2024-10-06,
96,Jumbo,Costa,Galleta Frac Bi Frutilla 110 G,749,Frac,https://www.jumbo.cl/galleta-frac-bi-frutilla-110gr-2004371/p,2024-10-06,
97,Jumbo,Costa,Galleta Frac Chocolate 110 G,749,Frac,https://www.jumbo.cl/galleta-frac-chocolate-110gr-2004369/p,2024-10-06,
98,Santa Isabel,Costa,Galleta Frac Bi Frutilla 110 G,749,Frac,https://www.santaisabel.cl/galleta-frac-bi-frutilla-110gr/p,2024-10-06,
99,Jumbo,Costa,Galleta Frac Bi Capuccino 110 G,749,Frac,https://www.jumbo.cl/galleta-frac-bi-capuccino-110-gr-2004370/p,2024-10-06,
100,Jumbo,Costa,Galleta Frac Vainilla 110 G,749,Frac,https://www.jumbo.cl/galleta-frac-vainilla-110-gr-2004367/p,2024-10-06,
101,Santa Isabel,Costa,Galleta Frac Naranja 110 G,749,Frac,https://www.santaisabel.cl/galleta-frac-naranja-110-gr-2004372/p,2024-10-06,
102,Unimarc,Nuestra Cocina,Pasta Tallarines 77 Nuestra Cocina 400 G,760,Tallarín,https://www.unimarc.cl/product/pasta-nuestra-cocina-400-tallarines-77,2024-10-01,
103,Unimarc,Nuestra Cocina,Pasta Tallarines 77 Nuestra Cocina 400 G,760,Tallarín,https://www.unimarc.cl/product/pasta-nuestra-cocina-400-tallarines-77,2024-10-06,
104,Santa Isabel,Lucchetti,Espirales Tr3S Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/espirales-lucchetti-bolsa-400-g-tr3s-tomate-natural-espinaca/p,2024-10-01,
105,Santa Isabel,Lucchetti,Spaghetti N°5 Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/spaghetti-n-5-lucchetti-bolsa-400-g/p,2024-10-01,
106,Santa Isabel,Lucchetti,Corbatas Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/corbatas-lucchetti-bolsa-400-g/p,2024-10-01,
107,Santa Isabel,Lucchetti,Canutos Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/canutos-lucchetti-bolsa-400-g/p,2024-10-01,
108,Santa Isabel,Lucchetti,Tallarín N°77 Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/tallarines-n-77-lucchetti-bolsa-400-g/p,2024-10-01,
109,Santa Isabel,Lucchetti,Espirales Proslow Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/espirales-lucchetti-bolsa-400-g/p,2024-10-01,
110,Santa Isabel,Lucchetti,Fideos Mostaccioli Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/fideos-mostaccioli-400-g/p,2024-10-01,
111,Unimarc,Carozzi,Pasta Spaghetti Integral Carozzi 400 G,780,Tallarín,https://www.unimarc.cl/product/spaghetti-integral-carozzi-400-gr,2024-10-06,3 x $2.340
112,Unimarc,Carozzi,Pasta Spaghetti Integral Carozzi 400 G,780,Tallarín,https://www.unimarc.cl/product/spaghetti-integral-carozzi-400-gr,2024-10-01,3 x $2.340
113,Santa Isabel,Cuisine & Co,Tallarín Vitaminizado 400 G,790,Tallarín,https://www.santaisabel.cl/tallarin-vitaminizado-400-g-cuisine-and-co-1870149/p,2024-10-06,
114,Santa Isabel,Cuisine & Co,Espirales Vitaminizados 400 G,790,Tallarín,https://www.santaisabel.cl/espirales-vitaminizados-400-g-cuisine-and-co-1870151/p,2024-10-01,
115,Santa Isabel,Cuisine & Co,Canutos Vitaminizados 400 G,790,Tallarín,https://www.santaisabel.cl/canutos-vitaminizados-400-g-cuisine-and-co-1870153/p,2024-10-01,
